Code;Latitude;Longitude;restaurant_count;restaurant_is_capped;school_count;school_is_capped;bank_count;bank_is_capped;hospital_count;hospital_is_capped;total_poi;road_types;road_types_desc;road_score;is_main_road;intersection_count;radius_m;alfamidi_count;other_minimarket_count;supermarket_count;total_retail_capped;is_capped;growth_rate_annual;pop_2020;pop_2026_est;density_2020;density_2026_est;category_2026;Status;Region
3425;-7.880.067;111.461.412;20;1;20;1;20;1;16;0;76;trunk,residential,tertiary,living_street;jalan besar penghubung antar kota,jalan perumahan,jalan lokal besar,jalan kecil / gang;9;1;27;1500;1;8;11;10;1;1.70%;23659;26177;3347.03;3703.27;low;1;2
1109;-81.260.389.927.366;112.571.968.387.395;20;1;20;1;20;1;20;1;80;residential,trunk;jalan perumahan,jalan besar penghubung antar kota;5;1;29;1500;0;11;9;10;1;1.90%;37116;41554;2953.63;3306.75;low;0;2
1185;-629.531.413.790.851;107.293.826.080.193;20;1;20;1;20;1;20;1;80;primary_link,primary,living_street,residential,secondary,secondary_link;akses jalan utama,jalan utama kota,jalan kecil / gang,jalan perumahan,jalan penghubung utama,akses jalan penghubung;10;1;83;1500;2;11;7;10;1;1.70%;48847;54046;6910.47;7645.98;low;1;2
1509;-384.466;11.981.601;20;1;20;1;11;0;8;0;59;residential,trunk,primary;jalan perumahan,jalan besar penghubung antar kota,jalan utama kota;10;1;54;2000;1;9;10;10;1;1.90%;10230;11453;814.08;911.41;low;1;5
2680;-61.143.785;1.065.687.653;20;1;20;1;17;0;4;0;61;residential,tertiary,living_street;jalan perumahan,jalan lokal besar,jalan kecil / gang;6;0;88;1000;1;7;12;10;1;1.70%;21773;24090;6930.54;7668.19;low;1;1
1514;-392.774.031.532.537;119.801.980.695.986;20;1;20;1;17;0;20;1;77;trunk,residential,secondary,unclassified,primary;jalan besar penghubung antar kota,jalan perumahan,jalan penghubung utama,jalan umum kecil,jalan utama kota;10;1;107;2000;1;14;5;10;1;1.90%;15300;17129;1217.5;1363.05;low;1;5
2131;-1.906.181;1.161.969.946;20;1;20;1;20;1;8;0;68;tertiary,residential;jalan lokal besar,jalan perumahan;5;0;44;2000;1;7;12;10;1;1.90%;8053;9015;640.81;717.43;low;1;4
1546;-37.812.431.866.615;119.650.258.405.275;20;1;20;1;20;1;11;0;71;trunk,residential,primary,tertiary;jalan besar penghubung antar kota,jalan perumahan,jalan utama kota,jalan lokal besar;10;1;52;2000;1;7;12;10;1;1.90%;17454;19541;1388.98;1555.04;low;1;5
2988;-77.456.389;1.132.189.444;20;1;20;1;20;1;18;0;78;tertiary,residential,living_street;jalan lokal besar,jalan perumahan,jalan kecil / gang;6;0;25;1500;0;14;6;10;1;1.70%;53436;59123;7559.6;8364.2;low;1;2
2838;-740.950.998.823.973;112.672.707.230.062;20;1;20;1;20;1;3;0;63;secondary,residential;jalan penghubung utama,jalan perumahan;6;1;80;1500;0;9;11;10;1;1.70%;28661;31712;4054.75;4486.31;low;1;2
1478;-515.043.410.216.328;119.469.639.074.466;20;1;20;1;20;1;17;0;77;secondary,primary,residential,living_street,primary_link;jalan penghubung utama,jalan utama kota,jalan perumahan,jalan kecil / gang,akses jalan utama;10;1;54;2000;2;8;10;10;1;1.50%;143624;157044;11429.2;12497.19;medium;1;5
1039;-612.371;1.061.721;20;1;20;1;20;1;20;1;80;unmapped;unmapped;0;0;0;1500;0;15;5;10;1;1.70%;63046;69756;8919.21;9868.52;low;0;2
2453;103.184.048.874.267;120.810.420.578.801;20;1;20;1;20;1;7;0;67;unmapped;unmapped;0;0;0;2000;1;3;16;10;1;1.90%;13739;15381;1093.28;1223.98;low;0;5
1699;-69.913.985.431.252;110.380.879.846.188;20;1;20;1;20;1;20;1;80;unmapped;unmapped;0;0;0;1500;0;11;9;10;1;1.70%;65117;72047;9212.13;10192.62;medium;0;2
3525;-385.643;12.205.262;20;1;20;1;15;0;5;0;60;residential,tertiary;jalan perumahan,jalan lokal besar;5;0;13;2000;0;6;14;10;1;1.90%;8607;9636;684.9;766.79;low;1;5
1717;-26.118.099;1.406.642.999;20;1;20;1;20;1;11;0;71;trunk,residential,trunk_link;jalan besar penghubung antar kota,jalan perumahan,akses jalan besar;5;1;62;2000;3;5;12;10;1;1.90%;40775;45649;3244.74;3632.66;low;1;7
2414;33.621.602;994.410.511;20;1;5;0;5;0;2;0;32;residential;jalan perumahan;2;0;4;2000;1;2;4;7;0;1.90%;20282;22707;1614.01;1806.97;low;0;3
3411;-7.539.462;11.076.262;20;1;20;1;15;0;11;0;66;trunk,secondary,tertiary,residential,living_street;jalan besar penghubung antar kota,jalan penghubung utama,jalan lokal besar,jalan perumahan,jalan kecil / gang;10;1;44;1500;0;8;12;10;1;1.70%;30335;33563;4291.46;4748.22;low;1;2
3341;-753.907.459.686.726;110.745.477.157.438;20;1;20;1;20;1;14;0;74;unclassified,primary,residential;jalan umum kecil,jalan utama kota,jalan perumahan;7;1;50;1500;0;7;13;10;1;1.70%;32102;35519;4541.53;5024.91;low;1;2
1583;-7.544.937.039.071;112.239.713.824.309;20;1;20;1;20;1;20;1;80;secondary,residential,tertiary,living_street;jalan penghubung utama,jalan perumahan,jalan lokal besar,jalan kecil / gang;10;1;53;1500;1;10;9;10;1;1.70%;39058;43215;5525.61;6113.72;low;0;2
1933;257.692.550.692.529;996.528.763.530.519;20;1;20;1;19;0;6;0;65;trunk,residential;jalan besar penghubung antar kota,jalan perumahan;5;1;15;2000;1;8;7;10;1;1.90%;10616;11886;844.83;945.83;low;1;3
2055;25.822.319;996.525.023;20;1;20;1;19;0;6;0;65;trunk,residential,tertiary;jalan besar penghubung antar kota,jalan perumahan,jalan lokal besar;8;1;23;2000;1;8;6;10;1;1.90%;8125;9097;646.6;723.9;low;1;3
1967;265.390.110.452.459;996.310.163.851.173;20;1;20;1;6;0;2;0;48;residential,trunk,unclassified;jalan perumahan,jalan besar penghubung antar kota,jalan umum kecil;5;1;11;2000;0;2;1;3;0;1.90%;5390;6034;428.89;480.17;low;1;3
3729;1.447.134;125.205.702;20;1;20;1;18;0;2;0;60;residential,tertiary,trunk;jalan perumahan,jalan lokal besar,jalan besar penghubung antar kota;8;1;16;2000;2;13;5;10;1;1.90%;33965;38026;2702.87;3026.01;low;1;5
2417;-625.099;10.661.747;20;1;20;1;20;1;20;1;80;residential,tertiary,living_street;jalan perumahan,jalan lokal besar,jalan kecil / gang;6;0;116;1000;1;12;7;10;1;1.30%;34786;37589;11072.76;11965;medium;1;1
1011;-623.176.503.283.597;107.009.550.312.492;20;1;20;1;20;1;20;1;80;secondary,tertiary,secondary_link,unclassified,residential;jalan penghubung utama,jalan lokal besar,akses jalan penghubung,jalan umum kecil,jalan perumahan;9;1;52;1000;2;11;7;10;1;0.90%;52979;55904;16863.58;17794.95;high;1;1
1473;-520.181;11.945.783;20;1;20;1;20;1;20;1;80;tertiary,living_street,unclassified,residential;jalan lokal besar,jalan kecil / gang,jalan umum kecil,jalan perumahan;6;0;48;2000;2;7;11;10;1;1.90%;79373;88863;6316.32;7071.46;low;1;5
1175;-623.860.664.336.794;107.005.131.391.167;20;1;20;1;20;1;20;1;80;residential,tertiary,living_street;jalan perumahan,jalan lokal besar,jalan kecil / gang;6;0;41;1000;3;11;6;10;1;0.90%;52979;55904;16863.58;17794.95;high;1;1
2252;3.301.723;117.590.108;20;1;20;1;20;1;15;0;75;tertiary,living_street,residential;jalan lokal besar,jalan kecil / gang,jalan perumahan;6;0;26;2000;5;5;10;10;1;1.90%;71210;79724;5666.72;6344.21;low;1;4
2333;-618.367.886.088.441;106.718.461.159.529;20;1;20;1;20;1;16;0;76;residential,secondary,living_street;jalan perumahan,jalan penghubung utama,jalan kecil / gang;7;1;69;1000;1;13;6;10;1;0.50%;68729;70817;21877.23;22541.8;very_high;1;1
2257;-0.40875198467;1.169.840.770.879;20;1;20;1;20;1;3;0;63;residential,unclassified;jalan perumahan,jalan umum kecil;2;0;48;2000;0;11;9;10;1;1.90%;6987;7823;556.04;622.51;low;1;4
3015;-3.699.245;128.185.509;20;1;20;1;20;1;16;0;76;secondary,trunk,tertiary,living_street,residential,unclassified;jalan penghubung utama,jalan besar penghubung antar kota,jalan lokal besar,jalan kecil / gang,jalan perumahan,jalan umum kecil;10;1;20;2000;3;6;11;10;1;1.50%;131644;143945;10475.88;11454.78;medium;1;6
3173;104.504.238.804.245;120.815.882.368.978;20;1;20;1;20;1;9;0;69;trunk,residential;jalan besar penghubung antar kota,jalan perumahan;5;1;29;2000;1;4;15;10;1;1.90%;16896;18916;1344.56;1505.3;low;1;5
3058;-3.273.056;127.099.166.999.999;20;1;20;1;7;0;0;0;47;unclassified,tertiary,residential,tertiary_link;jalan umum kecil,jalan lokal besar,jalan perumahan,akses jalan lokal;5;0;42;2000;5;6;9;10;1;1.90%;14696;16453;1169.47;1309.28;low;1;6
3311;-0.868114;121.590.868;20;1;20;1;13;0;1;0;54;residential,tertiary,trunk,unclassified;jalan perumahan,jalan lokal besar,jalan besar penghubung antar kota,jalan umum kecil;8;1;19;2000;3;6;11;10;1;1.90%;10802;12093;859.6;962.37;low;1;5
2169;-12.696.280.806.328;116.837.806.168.394;20;1;20;1;20;1;20;1;80;residential,living_street,secondary,tertiary;jalan perumahan,jalan kecil / gang,jalan penghubung utama,jalan lokal besar;10;1;34;2000;3;8;9;10;1;1.90%;96784;108355;7701.8;8622.59;low;1;4
2177;-124.905.485.558.906;116.835.707.187.794;20;1;20;1;20;1;17;0;77;living_street,residential,secondary;jalan kecil / gang,jalan perumahan,jalan penghubung utama;7;1;10;2000;5;9;6;10;1;1.90%;90003;100763;7162.19;8018.46;low;1;4
3061;-3.266.806;127.097.194;20;1;20;1;7;0;0;0;47;unclassified,residential,tertiary;jalan umum kecil,jalan perumahan,jalan lokal besar;5;0;24;2000;7;5;8;10;1;1.90%;14801;16571;1177.86;1318.67;low;1;6
3248;-0.864858969847666;121.593.193.049.345;20;1;20;1;13;0;1;0;54;trunk,tertiary,residential,unclassified;jalan besar penghubung antar kota,jalan lokal besar,jalan perumahan,jalan umum kecil;8;1;20;2000;3;5;12;10;1;1.90%;10802;12093;859.6;962.37;low;1;5
2056;-125.748.934.431.036;116.839.458.782.335;20;1;20;1;20;1;18;0;78;residential,secondary,tertiary,unclassified,living_street;jalan perumahan,jalan penghubung utama,jalan lokal besar,jalan umum kecil,jalan kecil / gang;10;1;30;2000;3;8;9;10;1;1.90%;83803;93822;6668.84;7466.13;low;0;4
3267;1.188.305.752.328;1.214.188.230.107;20;1;15;0;5;0;3;0;43;trunk,residential;jalan besar penghubung antar kota,jalan perumahan;5;1;8;2000;1;4;2;7;0;1.90%;3851;4312;306.49;343.13;low;1;5
2291;-33.532.684;1.146.294.339;20;1;20;1;20;1;8;0;68;trunk,unclassified,tertiary,residential,living_street,trunk_link;jalan besar penghubung antar kota,jalan umum kecil,jalan lokal besar,jalan perumahan,jalan kecil / gang,akses jalan besar;9;1;43;2000;1;12;7;10;1;1.90%;33745;37780;2685.38;3006.42;low;1;4
2294;-3.226.253;115.054.135;20;1;7;0;1;0;1;0;29;tertiary,residential;jalan lokal besar,jalan perumahan;5;0;1;2000;1;2;2;5;0;1.90%;4142;4637;329.61;369.01;low;1;4
